"","X","case_received_date","case_status","country_of_citizenship","decision_date","employer_state","employer_name","employer_yr_estab","foreign_worker_info_birth_country","foreign_worker_info_education","job_info_alt_combo_ed","job_info_alt_occ_job_title","job_info_job_title","job_info_work_state","wage_offer_from_9089","wage_offer_unit_of_pay_9089","employer_size","Center","Career_Cluster"
"48373",48372,2016,"Certified","INDIA",2016,"NJ","SYNERGY GLOBAL TECHNOLOGIES INC.",2006,"","Bachelor's","Bachelor's","","DATABASE DEVELOPER","NJ",103626,"Year","Medium","CA or VT",303093
"58620",58619,2016,"Certified","INDIA",2016,"KY","""V-SOFT CONSULTING GROUP, INC.""",1997,"","Master's","Bachelor's","Offered position or closely related occupation","Systems Analyst III","KY",68453,"Year","Large","CA or VT",337710
"22923",22922,2013,"Certified","INDIA",2015,"CALIFORNIA","""QUALCOMM ATHEROS, INC.""",2011,"INDIA","Master's","Bachelor's","Software Engineer or related","Senior Software Engineer/Network Backup","CALIFORNIA",110240,"Year","Large","CA or VT",212799
"26168",26167,2015,"Certified","INDIA",2015,"WASHINGTON","AMAZON CORPORATE LLC",1999,"INDIA","Master's","Bachelor's","""Software Engineer, Software Developer or related""","Software Development Engineer II","WASHINGTON",97219,"Year","Large","CA or VT",223855
"25930",25929,2014,"Certified-Expired","INDIA",2015,"TEXAS","""INNOCORE SOLUTIONS, INC.""",2005,"INDIA","Master's","Bachelor's","""Software Engineer, Programmer Analyst, Systems Analyst""","Senior Application Developer","TEXAS",95100,"Year","Medium","CA or VT",223092
"51355",51354,2016,"Certified","INDIA",2016,"TX","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"","Bachelor's","Other","","Computer Systems Analyst - II","TX",66144,"Year","Large","CA or VT",313139
"22690",22689,2015,"Certified","INDIA",2015,"MICHIGAN","STRYKER CORPORATION",1941,"INDIA","Doctorate","Doctorate","R&D Staff Engineer - Mechanical or related design experience","R&D Staff Engineer - Mechanical","MICHIGAN",85426,"Year","Large","CA or VT",212054
"34298",34297,2015,"Certified-Expired","INDIA",2016,"PA","""NESS USA, INC.""",1997,"","Bachelor's","Bachelor's","","Senior Software Tester","PA",84157,"Year","Large","CA or VT",255113
"55660",55659,2016,"Certified","INDIA",2016,"TN","BLUECROSS BLUESHIELD OF TENNESSEE",1945,"","Master's","None","""Application Designer Senior Professional, Senior Programmer Analyst""","Applications Systems Analyst - Specialist","TN",68494,"Year","Large","CA or VT",327348
"2746",2745,2013,"Certified-Expired","INDIA",2015,"TEXAS","""SBM ATLANTIA, INC.""",1987,"INDIA","Master's","Bachelor's","Please see H.14","Instrumentation and Controls Support Engineers","TEXAS",76336,"Year","Large","CA or VT",144546
"57491",57490,2016,"Certified","INDIA",2016,"TX","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"","Bachelor's","Other","","Computer Systems Analyst - II","TX",66144,"Year","Large","CA or VT",333497
"12525",12524,2014,"Certified-Expired","FRANCE",2015,"WASHINGTON","MICROSOFT CORPORATION",1975,"FRANCE","None","None","Any computer-related job title","Premier Field Engineer – Global Business Support – Delivery or Other","ILLINOIS",110400,"Year","Large","Unknown",178769
"7554",7553,2014,"Certified-Expired","INDIA",2014,"CALIFORNIA","QUALCOMM TECHNOLOGIES INC.",2011,"INDIA","Doctorate","Master's","Research and Development Engineer or Related","Staff Hardware Engineer/Corp R&D Low-Power Digital Circuit","CALIFORNIA",127462.4,"Year","Large","CA or VT",162562
"64900",64899,2016,"Certified","INDIA",2016,"CA","""ESURANCE INSURANCE SERVICES, INC.""",1998,"","Bachelor's","Master's","Conducting QA testing for complete Software Development Life Cycle ('SDLC')","QA Analyst","CA",90522,"Year","Large","CA or VT",359337
"15124",15123,2014,"Certified","INDIA",2015,"CALIFORNIA","QUALCOMM TECHNOLOGIES INC.",2011,"INDIA","Master's","Bachelor's","","Senior Software / Systems Test Engineer / Test Automation","CALIFORNIA",92352,"Year","Large","CA or VT",187273
"52280",52279,2016,"Certified","INDIA",2016,"TN","FEDEX CORPORATE SERVICES",2000,"","Master's","Other","Information Technology or engineering environment","Programmer Analyst Advisor","TN",98004,"Year","Large","CA or VT",316140
"41180",41179,2015,"Certified-Expired","INDIA",2016,"CA","GOOGLE INC.",1998,"","Master's","Bachelor's","Please see H.14.","Software Engineer","WA",140000,"Year","Large","CA or VT",279215
"62051",62050,2016,"Certified","INDIA",2016,"NJ","""HAIER AMERICA COMPANY, LLC""",2016,"","Master's","Bachelor's","Role related to industrial production cost analysis","Industrial Production Manager","IN",91603,"Year","Large","CA or VT",349708
"17276",17275,2014,"Certified","SOUTH KOREA",2015,"WASHINGTON","MOSS ADAMS LLP",1913,"SOUTH KOREA","Master's","Bachelor's","Accounting or Auditing *(cont'd in H.14)","Internal Auditor-In-Charge","OREGON",17822.398,"Month","Large","CA or VT",194239
"36098",36097,2015,"Certified-Expired","CZECH REPUBLIC",2016,"WA","AMAZON CORPORATE LLC",1999,"","Master's","Bachelor's","""Software Engineer, Software Developer, or related""","Software Development Engineer II","WA",97219,"Year","Large","CA or VT",261883
"36845",36844,2015,"Certified-Expired","INDIA",2016,"GA","GULFSTREAM AEROSPACE CORPORATION",1958,"","Bachelor's","Master's","Job offered or related position","Technical Specialist I","GA",118955,"Year","Large","CA or VT",264520
"19402",19401,2015,"Certified","INDIA",2015,"NEW JERSEY","""Brillio, LLC""",2004,"INDIA","Bachelor's","Bachelor's","IT Experience","Computer Programmer II","NEW JERSEY",108763,"Year","Large","CA or VT",200993
"65461",65460,2016,"Certified","INDIA",2016,"TX","INFOSYS LTD.",1981,"","Bachelor's","Bachelor's","""Management Consultant, Sr Associate, Lead Associate, Management Analyst or related position""","Principal – Business Consulting","TX",121112,"Year","Large","Unknown",361113
"40171",40170,2015,"Certified-Expired","INDIA",2016,"NY","BLOOMBERG L.P.",1981,"","Master's","Bachelor's","""Software Developer, Senior Software Developer, or related""","Senior IT Analyst","NY",95000,"Year","Large","CA or VT",275742
"28990",28989,2015,"Certified-Expired","INDIA",2015,"NY","""REGENERON PHARMACEUTICALS, INC.""",1988,"","Master's","Bachelor's","""Research Associate, Research Assistant, or related""","Research Associate III (Multiple Openings)","NY",78750,"Year","Large","CA or VT",235554
"13042",13041,2014,"Certified","INDIA",2015,"RHODE ISLAND","""CAREMARK, L.L.C.""",1979,"INDIA","Master's","Bachelor's","position in application development","""Advisor, IT Systems""","ILLINOIS",97157,"Year","Large","CA or VT",180383
"34019",34018,2015,"Certified-Expired","INDIA",2016,"WA","MICROSOFT CORPORATION",1975,"","Bachelor's","Bachelor's","Any computer-related occupation.","Software Engineer II - OSG Core Quality or Other","WA",126660,"Year","Large","Unknown",253881
"8364",8363,2014,"Certified-Expired","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Other","Other","","Computer Systems Analyst - II","TEXAS",54059,"Year","Large","Unknown",165069
"13924",13923,2014,"Certified","INDIA",2015,"WASHINGTON","AMAZON CORPORATE LLC",1999,"INDIA","Master's","Bachelor's","""Software Engineer, Software Developer, or a related""","Software Development Engineer II","WASHINGTON",87547,"Year","Large","Unknown",183249
"53820",53819,2016,"Certified","INDONESIA",2016,"CA","""VMWARE, INC.""",1998,"","Master's","Bachelor's","""Business Analyst (all levels), Operations Research Analyst - See H.11""","Senior Business Analyst","TX",82000,"Year","Large","CA or VT",321290
"5619",5618,2014,"Certified-Expired","NEPAL",2015,"CALIFORNIA","""CISCO SYSTEMS, INC.""",1984,"NEPAL","Master's","Master's","Software Engineer or in a related occupation.","Software Engineer","CALIFORNIA",121186,"Year","Large","Unknown",156387
"60594",60593,2016,"Certified","INDIA",2016,"ID","""BMH, INC""",1955,"","Master's","Bachelor's","","SENIOR SOFTWARE ENGINEER","ID",75088,"Year","Large","CA or VT",344815
"9505",9504,2014,"Certified-Expired","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","TEXAS",54059,"Year","Large","Unknown",169140
"7672",7671,2014,"Certified-Expired","MEXICO",2014,"ILLINOIS","""NAVISTAR, INC.""",1902,"MEXICO","Bachelor's","None","Robotic Paint Operator or Paint Process Engineer","Paint Process Engineer","OHIO",50046,"Year","Large","CA or VT",162941
"1958",1957,2013,"Certified","INDIA",2015,"CALIFORNIA","QUALCOMM TECHNOLOGIES INC.",2011,"INDIA","Master's","Bachelor's","Hardware Engineer or related","Senior Hardware Engineer/Physical Design","CALIFORNIA",110011.2,"Year","Large","CA or VT",141688
"21074",21073,2014,"Certified","INDIA",2015,"CALIFORNIA","SOFTSOL RESOURCES INC",1993,"INDIA","Master's","Bachelor's","Jobs with same or similar job duties but given different designation as per the organization","Programmer Analyst","CALIFORNIA",108077,"Year","Medium","CA or VT",206319
"45381",45380,2015,"Certified","INDIA",2016,"CA","""PAYPAL, INC.""",1999,"","Master's","Bachelor's","programmer analyst or software engineer","""MTS 1, Software Engineer""","CA",136890,"Year","Large","CA or VT",292602
"67649",67648,2016,"Certified","INDIA",2016,"KS","""TERRACON CONSULTANTS, INC.""",1965,"","Doctorate","Master's","Research/Training Engineer","Project Engineer II","SC",1e+05,"Year","Large","CA or VT",367983
"21653",21652,2015,"Certified","INDIA",2015,"GEORGIA","""SOFTPATH SYSTEM,LLC""",1999,"INDIA","Bachelor's","Bachelor's","""Programmer Analyst, Software Engineer or related positions.""","Senior Software Developer","GEORGIA",89000,"Year","Large","CA or VT",208149
"5011",5010,2014,"Certified-Expired","CHINA",2015,"NEW JERSEY","ERNST & YOUNG U.S. LLP",1989,"CHINA","Master's","Master's","""Mngr, Assurance; Sr. Associate, Assurance; Assoc., Assurance; or related""","FSO - Assurance Manager (Auditor - Asset Management)","NEW YORK",109600,"Year","Large","Unknown",154205
"36197",36196,2014,"Certified-Expired","INDIA",2016,"TX","""TECH MAHINDRA (AMERICAS) INC., (FORMERLY MBT INTERNATIONAL, INC.)""",1993,"","Bachelor's","Bachelor's","","Software Developer","TX",79747,"Year","Large","CA or VT",262316
"5165",5164,2014,"Certified-Expired","VIETNAM",2014,"TEXAS","""GROUP EXCELLENCE MANAGEMENT, LLC""",2004,"VIETNAM","Master's","Bachelor's","Closely related occupation to the position offered.","IT Manager","TEXAS",111654,"Year","Micro","CA or VT",154867
"46892",46891,2016,"Certified","INDIA",2016,"MI","MIRACLE SOFTWARE SYSTEMS INC.",1994,"","Bachelor's","Bachelor's","SEE ACCEPTABLE ALTERNATE OCCUPATIONS IN ITEM H.14","Database Administrator","MI",104187,"Year","Medium","CA or VT",297968
"64474",64473,2016,"Certified","INDIA",2016,"NJ","LARSEN & TOUBRO INFOTECH LIMITED",1997,"","Bachelor's","Other","""Computer Programmer, Software Engineer, Software Test Engineer, or related occupations""","Computer Programmer","NJ",68869,"Year","Large","CA or VT",357923
"45666",45665,2015,"Certified","INDIA",2016,"NJ","ITC INFOTECH USA INC",2000,"","Master's","Bachelor's","""Quality Engineer, Software Tester or Software Engineer""","Software Developer","NJ",111114,"Year","Large","CA or VT",293626
"58001",58000,2016,"Certified","INDIA",2016,"TX","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"","Bachelor's","Other","","Computer Systems Analyst - II","TX",66144,"Year","Large","CA or VT",335410
"25826",25825,2014,"Certified-Expired","SOUTH KOREA",2014,"CALIFORNIA","GOOGLE INC.",1998,"SOUTH KOREA","Master's","Bachelor's","See H.14","Software Engineer","CALIFORNIA",140000,"Year","Large","Unknown",222752
"52041",52040,2016,"Certified","CHINA",2016,"MI","ROBERT BOSCH LLC",1906,"","Doctorate","Doctorate","See Section H.14","Statistician / Data Scientist","CA",125000,"Year","Large","CA or VT",315347
"56499",56498,2016,"Certified","INDIA",2016,"IN","CUMMINS INC.",1919,"","Master's","Bachelor's","""Industrial or Manufacturing Engineer, or related""","Senior Industrial Engineer","IN",75600,"Year","Large","CA or VT",330247
"4482",4481,2014,"Certified","INDIA",2015,"NEW JERSEY","""J KNIPPER & COMPANY, INC.""",1986,"INDIA","Master's","Bachelor's","2 years of exp in database operations & querying methodology","Systems Validation Lead","NEW JERSEY",82601,"Year","Large","CA or VT",152434
"19543",19542,2015,"Certified","UKRAINE",2015,"NORTH CAROLINA","IBM CORPORATION",1911,"UKRAINE","Master's","Bachelor's","""Sr SW Developer, SW Engineer, or rel""","Software Engineer","MASSACHUSETTS",86653,"Year","Large","CA or VT",201398
"16576",16575,2015,"Certified","INDIA",2015,"NEW JERSEY","CYNOSOFT SOLUTIONS INC",2007,"INDIA","Bachelor's","Bachelor's","Computer software developing and/or consulting","Oracle Apps DBA","NEW JERSEY",92310,"Year","Small","CA or VT",191928
"7392",7391,2014,"Certified-Expired","INDIA",2014,"CALIFORNIA","RIVERBED TECHNOLOGY",2002,"INDIA","Master's","Bachelor's","An occup. involving software engineering exp.","Senior Software Engineer (Virtualization)","CALIFORNIA",127150,"Year","Large","CA or VT",162026
"21549",21548,2014,"Denied","JAPAN",2015,"CALIFORNIA","""Scott D Boras, Inc.""",1984,"JAPAN","Master's","Bachelor's","Athletic Trainer and/or Conditioning Coach in Professional Baseball","""Scouting Director, US-Asian Division""","CALIFORNIA",61180,"Year","Medium","CA",207834
"19335",19334,2014,"Certified","PHILIPPINES",2015,"FLORIDA","""JACKSON THERAPY PARTNERS HOLDINGS, LLC""",2006,"PHILIPPINES","Other","Bachelor's","","Occupational Therapist","TEXAS",73258,"Year","Large","Unknown",200751
"3127",3126,2013,"Denied","CHINA",2015,"NORTH CAROLINA","IBM CORPORATION",1911,"CHINA","Bachelor's","Bachelor's","""Managing Consultant, Senior Consultant, Consultant or related""","Managing Consultant","NEW YORK",75878,"Year","Large","CA or VT",145939
"20611",20610,2014,"Certified","INDIA",2015,"MICHIGAN","MEIJER GREAT LAKES LIMITED PARTNERSHIP",1934,"INDIA","Bachelor's","Master's","information technology system development and implementation experience","ITS Systems Coordinator/Analyst","MICHIGAN",91100,"Year","Large","CA or VT",204842
"26772",26771,2015,"Certified-Expired","UNITED KINGDOM",2015,"CA","""CISCO SYSTEMS, INC.""",1984,"","Associate's","Other","Data Center Architectures or related occupation.","Technical Solutions Architect","CA",163537.94,"Year","Large","Unknown",226528
"32486",32485,2015,"Certified-Expired","CHINA",2015,"CA","GOOGLE INC.",1998,"","Master's","Bachelor's","See H.14","Software Engineer","CA",115253,"Year","Large","Unknown",248504
"47183",47182,2015,"Certified","INDIA",2016,"FL","KFORCE INC.",1994,"","Bachelor's","Bachelor's","IT Field","Lead Analyst","FL",74880,"Hour","Large","CA or VT",298909
"68364",68363,2016,"Certified","INDIA",2016,"CA","HCL AMERICA INC.",1988,"","Bachelor's","Bachelor's","Related IT or Engineering role","Senior Programmer Analysts","NJ",111114,"Year","Large","CA or VT",370352
"56347",56346,2016,"Certified","INDIA",2016,"CA","""SYNOPSYS, INC.""",1986,"","Master's","Bachelor's","software integration and release","Release Engineer","CA",94640,"Year","Large","CA or VT",329773
"35381",35380,2015,"Certified-Expired","INDIA",2016,"TX","INFOSYS LTD.",1981,"","Bachelor's","Bachelor's","""Technology Lead, Programmer Analyst, Consultant, or related role""","Project Manager - U.S.","TX",85571,"Year","Large","CA or VT",259304
"46758",46757,2016,"Certified","INDIA",2016,"CA","INTEL CORPORATION",1968,"","Bachelor's","Master's","Related occupation","Software Engineer","OR",115939,"Year","Large","CA or VT",297437
"58243",58242,2016,"Certified","INDIA",2016,"AZ","VHS OUTPATIENT CLINICS INC",2009,"","Other","Other","","Family Physician","AZ",185000,"Year","Medium","CA or VT",336318
"8232",8231,2014,"Certified-Expired","PAKISTAN",2014,"CALIFORNIA","QUALCOMM TECHNOLOGIES INC.",2011,"PAKISTAN","Master's","Bachelor's","Hardware Engineer or related","Senior Hardware Engineer/Digital Design","CALIFORNIA",109720,"Year","Large","CA or VT",164685
"1074",1073,2013,"Denied","INDIA",2015,"ILLINOIS","CAPGEMINI FINANCIAL SERVICES USA INC.",1989,"INDIA","Master's","Bachelor's","Computer software development","LEAD CONSULTANT","ILLINOIS",93995,"Year","Large","CA or VT",137942
"39943",39942,2015,"Certified-Expired","CANADA",2016,"PA","DELOITTE CONSULTING LLP",1996,"","Master's","Master's","""Associate Director, Practice Manager or related.""","""Manager,Systems Integration,Prgrm Mngmnt,Funct & Test""","CO",122000,"Year","Large","CA or VT",275197
"50901",50900,2016,"Certified","SOUTH KOREA",2016,"NJ","ERNST & YOUNG U.S. LLP",1989,"","Master's","Master's","Assurance Senior; or related occupations","FSO Assurance Manager - Insurance (Multiple Positions)","CA",89815,"Year","Large","Unknown",311642
"31754",31753,2015,"Certified-Expired","FRANCE",2015,"CA","""Astro Arc Polysoude, Inc.""",1994,"","Master's","Other","","Sales Engineer","CA",88046,"Year","Micro","CA or VT",245628
"68783",68782,2016,"Certified","INDIA",2016,"PA","""VELAGA ASSOCIATES, INC.""",2002,"","Master's","Master's","""Computers, Engineering, Sciences or IT related field""","Senior Software Developer (JAVA)","PA",101712,"Year","Small","CA or VT",371748
"36581",36580,2015,"Certified-Expired","PAKISTAN",2016,"CA","""SINGAPORE TELECOM USA, INC.""",1998,"","Bachelor's","Bachelor's","""Solutions Manager, Senior Network Planning Manager, Product Development Manager, Network Engineer""","Customer Solutions Manager","NY",117000,"Year","Small","Unknown",263690
"55694",55693,2016,"Certified","INDIA",2016,"TX","OBERON IT INC",2007,"","Master's","Bachelor's","","Software Engineer","TX",81952,"Year","Medium","CA or VT",327415
"52182",52181,2016,"Certified","INDIA",2016,"MA","""THE MATHWORKS, INC.""",1984,"","Master's","Bachelor's","Job offered or experience in development or technical  [CONT'D in H.14]","Software Engineer","MA",94203,"Year","Large","CA or VT",315786
"42641",42640,2015,"Certified-Expired","INDIA",2016,"IN","CUMMINS EMISSION SOLUTIONS INC.",2007,"","Master's","Bachelor's","Software Systems Engineer or related position","Senior CPS Controls Engineer","IN",77210,"Year","Large","CA or VT",284298
"32432",32431,2015,"Certified-Expired","INDIA",2015,"CA","""NICIRA, INC.""",2007,"","Master's","Bachelor's","""Software Developer (all levels), Software Engineer (all levels), see H.11.""","Member of Technical Staff - Software Engineering","CA",115253,"Year","Large","CA or VT",248208
"66390",66389,2016,"Certified","INDIA",2016,"CA","SALESFORCE.COM",1999,"","Master's","Bachelor's","Field of Software Engineering or Program Analysis","Software Quality Engineer","IN",82000,"Year","Large","CA or VT",363945
"14917",14916,2014,"Certified-Expired","INDIA",2015,"CALIFORNIA","HCL AMERICA INC.",1988,"INDIA","Other","Other","""Software Consultant, Engineer or related field.""","Systems Analyst","WASHINGTON",84032,"Year","Large","CA or VT",186601
"57620",57619,2016,"Certified","INDIA",2016,"MO","AMDOCS INC.",1984,"","Bachelor's","Bachelor's","TELECOM-RLTD SOFTWARE DEVELOPMENT [SEE § H.14]","SOFTWARE DEVELOPMENT SPECIALIST","NJ",94464,"Year","Large","Unknown",334002
"5398",5397,2014,"Certified-Expired","INDIA",2015,"PENNSYLVANIA","""GSI COMMERCE SOLUTIONS, INC""",1999,"INDIA","Master's","Bachelor's","In the field of Software Engineering or Program Analysis","Software Engineer 2","PENNSYLVANIA",85000,"Year","Large","CA or VT",155720
"2403",2402,2013,"Certified","INDIA",2015,"NORTH CAROLINA","""NEW BREED, INC.""",1968,"INDIA","Bachelor's","None","experience with WMS systems development and implementation","Business Analyst","NORTH CAROLINA",92000,"Year","Large","CA or VT",143417
"41854",41853,2015,"Certified-Expired","INDIA",2016,"NY","""PROSOFT IT SERVICES, INC""",2005,"","Bachelor's","Master's","Any reasonable related occupation is accepted","Sr. Software Engineer","NY",96096,"Year","Medium","CA or VT",281475
"4574",4573,2014,"Certified","CHINA",2015,"CALIFORNIA","QUALCOMM TECHNOLOGIES INC.",2011,"CHINA","Master's","Bachelor's","","Senior Software Engineer/Audio SW","CALIFORNIA",92352,"Year","Large","CA or VT",152733
"64891",64890,2016,"Certified","BELARUS",2016,"PA","""EPAM SYSTEMS, INC""",1993,"","Master's","Bachelor's","","Senior Project Manager","PA",126339,"Year","Large","Unknown",359313
"21929",21928,2015,"Withdrawn","INDIA",2015,"MARYLAND","DRFIRST",2000,"INDIA","Master's","Bachelor's","""Technology Lead, Software Engineer, Developer or related""","Senior Software Engineer","MARYLAND",128000,"Year","Large","CA or VT",209226
"32148",32147,2015,"Certified-Expired","INDIA",2015,"VT","ITECH US INC.",2001,"","Master's","Bachelor's","Any suitable software development occupation","Software Engineer","VT",95250,"Year","Large","CA or VT",247195
"61217",61216,2016,"Certified","INDIA",2016,"TX","""BUSINESS INTELLI SOLUTIONS, INC.""",2006,"","Master's","Bachelor's","""QA Analyst, Software Tester""","Software Engineer","TX",81952,"Year","Medium","CA or VT",346847
"18715",18714,2014,"Certified","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","TEXAS",64438,"Year","Large","CA or VT",198809
"41645",41644,2015,"Certified-Expired","INDIA",2016,"CA","8K MILES SOFTWARE SERVICES INC",2011,"","Bachelor's","Bachelor's","IT Positions. Please see H-14 (exp as required in required in H.6A or H.8C)","SOFTWARE DEVELOPER / ANALYST","CA",90418,"Year","Medium","CA or VT",280779
"6105",6104,2014,"Certified-Expired","INDIA",2015,"NORTH CAROLINA","PANTAR SOLUTIONS INC",2004,"INDIA","Bachelor's","Bachelor's","Programmer Analyst","Senior Java Software Engineer","NORTH CAROLINA",91000,"Year","Small","CA or VT",157884
"30737",30736,2015,"Certified-Expired","INDIA",2015,"WA","AMAZON CORPORATE LLC",1999,"","Master's","Bachelor's","""Project Manager, Hardware Engineer, Program Manager or a related occupation""","Technical Program Manager","WA",124259,"Year","Large","CA or VT",241815
"41680",41679,2015,"Certified-Expired","INDIA",2016,"AL","INFINITY INSURANCE COMPANY",1978,"","Master's","Bachelor's","","Software Engineer II","AL",73507,"Year","Large","CA or VT",280866
"6131",6130,2014,"Certified-Expired","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","TEXAS",54059,"Year","Large","CA or VT",157959
"6740",6739,2014,"Certified","CHINA",2015,"NEW YORK","ED&F MAN CAPITAL MARKETS",1952,"CHINA","Bachelor's","Bachelor's","related occupation","VP of Commodity Sales (Chinese Account Manager)","ILLINOIS",103792,"Year","Medium","CA or VT",159957
"23240",23239,2014,"Certified-Expired","CANADA",2015,"CALIFORNIA","LUTRONIC INC.",2007,"SOUTH KOREA","Bachelor's","Bachelor's","","Senior Biomedical Engineer","CALIFORNIA",1e+05,"Year","Small","CA or VT",213959
"5235",5234,2014,"Certified-Expired","INDIA",2014,"MASSACHUSETTS","""XPERTTECH, INC.""",2002,"INDIA","Bachelor's","Master's","Computer Software Professional","Sr. Computer Systems Analyst","MASSACHUSETTS",101000,"Year","Small","CA or VT",155145
"41989",41988,2015,"Certified-Expired","CHINA",2016,"CA","GOOGLE INC.",1998,"","Doctorate","Doctorate","See H.14.","Software Engineer","NY",93000,"Year","Large","CA or VT",282055
"22455",22454,2014,"Certified-Expired","INDIA",2015,"CALIFORNIA","CSAA INSURANCE EXCHANGE",1914,"INDIA","Master's","Bachelor's","An occup. involv. exp. as listed in H.14.","Application Developer III","ARIZONA",74900,"Year","Large","CA or VT",211310
"59515",59514,2016,"Certified","INDIA",2016,"AZ","""INTRAEDGE, INC""",2002,"","Bachelor's","Bachelor's","","Software Engineer","AZ",74984,"Year","Large","CA or VT",340961
"60835",60834,2016,"Certified","INDIA",2016,"CA","ALLIANCE INFORMATION TECHNOLOGY & COMPUTER SOFTWAR",2011,"","Bachelor's","Bachelor's","","Computer Systems Analyst","CA",121202,"Year","Small","CA or VT",345552
"12981",12980,2014,"Certified","INDIA",2015,"NEW JERSEY","ERNST & YOUNG U.S. LLP",1989,"BAHRAIN","Master's","Master's","SENIOR-Adv.-ITRT-SAP; STAFF-Adv.-ITRT-SAP; or related","""Advisory Manager-ITRT-SAP Application Risk, Controls and Security""","ILLINOIS",95100,"Year","Large","CA or VT",180183
"36589",36588,2015,"Certified-Expired","INDIA",2016,"VA","BELL INFO SOLUTIONS LLC",2010,"","Master's","Bachelor's","","Business Intelligence Developer","VA",106787,"Year","Medium","CA or VT",263703
"37002",37001,2015,"Certified-Expired","INDIA",2016,"IN","CUMMINS INC.",1919,"","Master's","Bachelor's","Combustion Performance Emissions Engineer or related","Technical Specialist - Thermal and Fluid Science Engineer","IN",85000,"Year","Large","CA or VT",265071
"13520",13519,2014,"Certified","INDIA",2015,"PENNSYLVANIA","""MOXIE SYSTEMS, INC.""",2005,"INDIA","Bachelor's","Bachelor's","Stated in H-11","""Sr. Software Engineer, TIBCO Implementation Projects""","PENNSYLVANIA",111426,"Year","Small","CA or VT",181877
"51750",51749,2016,"Certified","SOUTH KOREA",2016,"CA","""A2Z DEVELOPMENT CENTER, INC.""",2004,"","Doctorate","Bachelor's","Hardware Engineer or related","Hardware Development Engineer II","CA",130562,"Year","Large","CA or VT",314324
"2521",2520,2013,"Certified","INDIA",2015,"GEORGIA","""LODESTONE MANAGEMENT CONSULTANTS, INC.""",2006,"INDIA","Master's","Bachelor's","""Sr. Consultant, Consultant, or related occupation""","""MANAGING CONSULTANT, SAP SUPPLY CHAIN SYSTEMS""","GEORGIA",90314,"Year","Medium","CA or VT",143799
"12812",12811,2014,"Certified","INDIA",2015,"CALIFORNIA","INTEL CORPORATION",1968,"INDIA","Bachelor's","Master's","Related Occupation","Software Engineer","CALIFORNIA",107765,"Year","Large","CA or VT",179696
"6901",6900,2014,"Certified-Expired","INDIA",2014,"CALIFORNIA","""A2Z DEVELOPMENT CENTER, INC.""",2004,"INDIA","Master's","Bachelor's","""Software Engineer, Software Developer, or related""","Software Development Engineer II","CALIFORNIA",98675,"Year","Large","CA or VT",160502
"2079",2078,2013,"Certified-Expired","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","TEXAS",54059,"Year","Large","CA or VT",142126
"41495",41494,2015,"Certified-Expired","INDIA",2016,"FL","NIC INFO TEK INC",2004,"","Master's","Bachelor's","""IT Positions Such as programmer, software engineer, etc. (exp. as required in 6A or 8C)""","Software Developer / Analyst","FL",70054,"Year","Medium","CA or VT",280263
"52084",52083,2016,"Certified","INDIA",2016,"FL","""OFFICE DEPOT, INC.""",1986,"","Master's","Bachelor's","""business sys analysis or managt, comp sy analysis, or tech/prog or related""","Senior Business Systems Program Manager","FL",113000,"Year","Large","CA or VT",315535
"17224",17223,2014,"Certified","INDIA",2015,"TEXAS","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"INDIA","Bachelor's","Other","","Computer Systems Analyst - II","TEXAS",64438,"Year","Large","Unknown",194076
"44559",44558,2015,"Certified","INDIA",2016,"CA","HCL AMERICA INC.",1988,"","Bachelor's","Bachelor's","Related IT or Engineering role","Senior Systems Analysts","NJ",98904,"Year","Large","CA or VT",290098
"57034",57033,2016,"Certified","INDIA",2016,"NJ","""JM INFORMATION SYSTEMS,LLC""",2005,"","Bachelor's","Other","","Software Engineer","NJ",103626,"Year","Small","CA or VT",331855
"35875",35874,2014,"Certified-Expired","AUSTRALIA",2016,"MA","""RANDSTAD TECHNOLOGIES, LP""",1984,"","Bachelor's","Other","""Uniface Programmer, Uniface Specialist, Uniface Developer, Enterprise Architec or related occupation""","Software Developer","MA",118000,"Year","Large","VT",261047
"54041",54040,2016,"Certified","INDIA",2016,"TX","COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION",1994,"","Bachelor's","Other","","Computer Systems Analyst - II","TX",66144,"Year","Large","CA or VT",321898
